"year","tree_name","description","species","age","region","gps","score_raw","place","cover_photo_url","tree_url","score_value","score_type","place_num","cover_photo_file","lat","lon"
2016,"The Peace Tree",NA,"Oak (Quercus robur)","96 years years","Woodvale Park, Belfast, Northern Ireland, UK","N 54°36'36'', W 5°58'24.24''","628 votes","13th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Strom_miru_1_b09a2ae852.jpg","https://www.treeoftheyear.org/previous-years/2016/Strom-miru",628,"votes",13,"photos/2016_the_peace_tree_Strom-miru.jpg",54.61,-5.9734
2016,"Survival at the cutting edge oak",NA,"Pedunculate oak (Quercus robur)","Approx65yearsold. years","National Botanic Garden of Wales, Llanarthne, Carmarthenshire, Wales, UK","N 51°50'29.82'', W 4°8'43.87''","237 votes","14th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_s_zivotem_na_vlasku_1_98261bb2bb.jpg","https://www.treeoftheyear.org/previous-years/2016/Dub-s-zivotem-na-vlasku",237,"votes",14,"photos/2016_survival_at_the_cutting_edge_oak_Dub-s-zivotem-na-vlasku.jpg",51.84161666666667,-4.145519444444445
2016,"The Generation Tree",NA,"Beech (Fagus sylvatica)","35 years years","Ballina, Co. Tipperary, Ireland","N 52°47'55.07'', W 8°25'16.79''","172 votes","15th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Strom_generaci_1_07fc992f35.jpg","https://www.treeoftheyear.org/previous-years/2016/Strom-generaci",172,"votes",15,"photos/2016_the_generation_tree_Strom-generaci.jpg",52.798630555555555,-8.421330555555555
2017,"Oak Józef",NA,"English oak (Quercus robur)","650 years years","Wiśniowa, Podkarpackie province, Poland","N 49°51'36'', E 21°38'24''","17597 votes","1st place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_Josef_1_12f3562367.jpg","https://www.treeoftheyear.org/previous-years/2017/Dub-Josef",17597,"votes",1,"photos/2017_oak_j_zef_Dub-Josef.jpg",49.86,21.64
2017,"The Brimmon Oak",NA,"Pedunculate Oak (Quercus robur)","over500 years","Newtown, Powys, Wales, UK","N 52°30'44.99'', W 3°17'34.45''","16203 votes","2nd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Brimmonsky_dub_1_ac3e7500d0.jpg","https://www.treeoftheyear.org/previous-years/2017/Brimmonsky-dub",16203,"votes",2,"photos/2017_the_brimmon_oak_Brimmonsky-dub.jpg",52.51249722222222,-3.2929027777777775
2017,"The lime tree at Lipka",NA,"Small-leaved Lime (Tilia cordata)","800 years years","Lipka at Horní Bradlo, Pardubice region, The Czech republic","N 49°47'45.48'', E 15°43'59.21''","14813 votes","3rd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Lipa_na_Lipce_1_0332f38103.jpg","https://www.treeoftheyear.org/previous-years/2017/Lipa-na-Lipce",14813,"votes",3,"photos/2017_the_lime_tree_at_lipka_Lipa-na-Lipce.jpg",49.795966666666665,15.733113888888889
2017,"The Céron park saman","This saman, or rain tree, used to shelter coffee and cacao plantations. It comes from the Habitation Céron park (an old sugar plantation from the seventeenth century), and is registered as one of the largest trees in the Lesser Antilles. A protective tree, which itself is protected from the weather: it has survived all of the cyclones of the island, as well as a mortal volcanic eruption of the “Montagne Pelée” in 1902.","Rain tree (Albizia saman)","300 years years","Le Prêcheur, Martinique, France","N 14°49'51.2'', W 61°13'11.78''","7420 votes","4th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Albizie_v_Ceronskem_parku_1_39e43c1c3f.jpg","https://www.treeoftheyear.org/previous-years/2017/Albizie-v-Ceronskem-parku",7420,"votes",4,"photos/2017_the_c_ron_park_saman_Albizie-v-Ceronskem-parku.jpg",14.83088888888889,-61.21993888888889
2017,"The Sycamore Gap Tree",NA,"Sycamore (Acer pseudoplatanus)","several hundred years","Hadrian&apos;s Wall, Northumberland, England, UK","N 55°0'12.56'', W 2°22'25.9''","7123 votes","5th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Javor_v_prikrem_udoli_1_69e9d6ced3.jpg","https://www.treeoftheyear.org/previous-years/2017/Javor-v-prikrem-udoli",7123,"votes",5,"photos/2017_the_sycamore_gap_tree_Javor-v-prikrem-udoli.jpg",55.00348888888889,-2.373861111111111
2017,"The venerable sessile oak by the Nasalevtsi church",NA,"Sessile oak (Quercus Petrea)","over600 years","Village of Nasalevtsi, Tryn Municipality, Bulgaria","N 42°49'31.29'', E 22°30'18.69''","6670 votes","6th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Letity_dub_u_Nasalevckeho_kostela_1_5ef6c720a8.jpg","https://www.treeoftheyear.org/previous-years/2017/Letity-dub-u-Nasalevckeho-kostela",6670,"votes",6,"photos/2017_the_venerable_sessile_oak_by_the_nasalevtsi_church_Letity-dub-u-Nasalevckeho-kostela.jpg",42.825358333333334,22.505191666666665
2017,"The ""Ding Dong"" Tree",NA,"Copper beech (Fagus sylvatica f. purpurea)","approx30 years","Prestonpans, Scotland, UK","N 55°57'14.43'', W 2°58'31.14''","6327 votes","7th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Strom_Ding_dong_1_7f56ff5d7f.jpg","https://www.treeoftheyear.org/previous-years/2017/Strom-Ding-dong",6327,"votes",7,"photos/2017_the_ding_dong_tree_Strom-Ding-dong.jpg",55.954008333333334,-2.9753166666666666
2017,"Plane tree from Budatin",NA,"Plane tree (Platanus hispanica)","270 years years","Žilina, North Slovakia","N 49°14'10.2'', E 18°44'1.29''","6022 votes","8th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Budatinsky_platan_1_a6307eed57.jpg","https://www.treeoftheyear.org/previous-years/2017/Budatinsky-platan",6022,"votes",8,"photos/2017_plane_tree_from_budatin_Budatinsky-platan.jpg",49.23616666666667,18.73369166666667
2017,"Aprisquillo Pine",NA,"Black pine (Pinus nigra)","over350 years","La Adrada (Ávila), Spain","N 40°21'12.63'', W 4°38'9.08''","5459 votes","9th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Borovice_Aprisquillo_1_301ae1f473.jpg","https://www.treeoftheyear.org/previous-years/2017/Borovice-Aprisquillo",5459,"votes",9,"photos/2017_aprisquillo_pine_Borovice-Aprisquillo.jpg",40.35350833333334,-4.635855555555555
2017,"Russalka oak",NA,"Common oak (Quercus robur L.)","about100 years","Tallinn, Harju county, Estonia","N 59°26'34.15'', E 24°47'24.57''","5317 votes","10th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Rusalcin_dub_1_fc7289e501.jpg","https://www.treeoftheyear.org/previous-years/2017/Rusalcin-dub",5317,"votes",10,"photos/2017_russalka_oak_Rusalcin-dub.jpg",59.44281944444444,24.790158333333334
2017,"The Village Lime Tree of Massemen",NA,"Large-Leaved Linden (Tilia platyphyllos)","Between380and440years years","Massemen (Community of Wetteren), East-Flanders, Belgium","N 50°58'51.63'', E 3°52'22.96''","5280 votes","11th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Obecni_lipa_v_Massemenu_1_b94b286582.jpg","https://www.treeoftheyear.org/previous-years/2017/Obecni-lipa-v-Massemenu",5280,"votes",11,"photos/2017_the_village_lime_tree_of_massemen_Obecni-lipa-v-Massemenu.jpg",50.981008333333335,3.8730444444444445
2017,"Stelmužė oak",NA,"Common oak (Quercus robur L.)","morethan1000 years","Stelmužė village, Zarasai district, Utena county, Lithuania","N 55°49'46.89'', E 26°13'4.44''","5245 votes","12th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_v_Stelmuze_1_d4ab88044f.jpg","https://www.treeoftheyear.org/previous-years/2017/Dub-v-Stelmuze",5245,"votes",12,"photos/2017_stelmu_oak_Dub-v-Stelmuze.jpg",55.82969166666667,26.217899999999997
2017,"The most beautiful plane tree of the Jászai Mari square",NA,"Plane tree (platanus)","80 years years","Budapest, Hungary","N 47°30'50.4'', E 19°2'52.8''","5132 votes","13th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Nejkrasnejsi_platan_na_namesti_Jaszai_Mari_1_237d7cb066.jpg","https://www.treeoftheyear.org/previous-years/2017/Nejkrasnejsi-platan-na-namesti-Jaszai-Mari",5132,"votes",13,"photos/2017_the_most_beautiful_plane_tree_of_the_j_szai_mari_square_Nejkrasnejsi-platan-na-namesti-Jaszai-Mari.jpg",47.514,19.048000000000002
2017,"Hugh O’Flaherty’s Trees",NA,"Mediterranean palm (Chamaerops humilis var. Argentea), Italian cypress (Cupressus sempervirens), Holm oak (Quercus ilex), Stone pine (Pinus pinea)","25 years years","Killarney, Co. Kerry, Ireland","N 52°1'5.09'', W 9°30'15.48''","5096 votes","14th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Stromy_Hugha_O_Flahertyho_1_3e6f70048b.jpg","https://www.treeoftheyear.org/previous-years/2017/Stromy-Hugha-O-Flahertyho",5096,"votes",14,"photos/2017_hugh_o_flaherty_s_trees_Stromy-Hugha-O-Flahertyho.jpg",52.01808055555556,-9.5043
2017,"Climbing Beech in Hoppenrade",NA,"European beech (Fagus sylvatica)","175 years years","Hoppenrade (Plattenburg), Brandenburg, Germany","N 53°2'6.38'', E 12°3'29.27''","4763 votes","15th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Buk_prolezacka_v_Hoppenrade_1_0e3d1a6ca5.jpg","https://www.treeoftheyear.org/previous-years/2017/Buk-prolezacka-v-Hoppenrade",4763,"votes",15,"photos/2017_climbing_beech_in_hoppenrade_Buk-prolezacka-v-Hoppenrade.jpg",53.03510555555555,12.058130555555556
2018,"Whistler cork oak tree",NA,"Cork Oak (Quercus suber)","234 years years","Águas de Moura, Alentejo, Portugal","N 38°35'20.01'', W 8°41'47.43''","26606 votes","1st place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Svitorici_korkovy_dub_1_fe0269fc07.jpg","https://www.treeoftheyear.org/previous-years/2018/Svitorici-korkovy-dub",26606,"votes",1,"photos/2018_whistler_cork_oak_tree_Svitorici-korkovy-dub.jpg",38.58889166666667,-8.696508333333334
2018,"Ancient elms of Cabeza Buey",NA,"Elm (Ulmus minor)","450 years years","Cabeza Buey, Badajoz, Spain","N 38°42'20.99'', W 5°19'24.99''","22323 votes","2nd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Prastare_jilmy_v_Cabeza_Buey_1_b92d8436e7.jpg","https://www.treeoftheyear.org/previous-years/2018/Prastare-jilmy-v-Cabeza-Buey",22323,"votes",2,"photos/2018_ancient_elms_of_cabeza_buey_Prastare-jilmy-v-Cabeza-Buey.jpg",38.70583055555556,-5.3236083333333335
2018,"The oak called ""the Elder of the Belgorod Forests""",NA,"English oak (Quercus robur L.)","188 years years","Village Dubovoye, Dubovskoye rural settlement, Belgorod district, Belgorod region, Russian Federation","N 50°32'0.1'', E 36°35'0.12''","21884 votes","3rd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_zvany_Staresina_Belgorodskeho_lesa_1_28f8b433c3.jpg","https://www.treeoftheyear.org/previous-years/2018/Dub-zvany-Staresina-Belgorodskeho-lesa",21884,"votes",3,"photos/2018_the_oak_called_the_elder_of_the_belgorod_forests_Dub-zvany-Staresina-Belgorodskeho-lesa.jpg",50.53336111111111,36.58336666666667
2018,"Zengővárkony's survivor, the sweet chestnut","Zengővárkony is famous far and wide for its ancient sweet chestnut-wood, which embraces the small village of 400 souls. Chestnut was the source of growth for the locals; therefore they lovingly cared for the trees. As centuries have passed, the tree has healed from crustal cancer, survived nationalization after the war and even once being set on fire in a cold winter. For the locals the 300-year-old chestnut tree is the symbol of continuity and its desire to live gives strength to them.","Sweet chestnut (Castanea sativa)","300 years years","Zengővárkony, Southern Transdanubia, Hungary","N 46°10'51.2'', E 18°26'4.59''","13877 votes","4th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Trisetlety_kastanovnik_v_Zengovarkony_1_7ac832971b.jpg","https://www.treeoftheyear.org/previous-years/2018/Trisetlety-kastanovnik-v-Zengovarkony",13877,"votes",4,"photos/2018_zeng_v_rkony_s_survivor_the_sweet_chestnut_Trisetlety-kastanovnik-v-Zengovarkony.jpg",46.18088888888889,18.434608333333333
2018,"The Gilwell Oak",NA,"Common oak (Quercus robur L.)","450-550years years","London, England, United Kingdom","N 51°39'1.14'', E 0°0'3.83''","12955 votes","5th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Gilwellsky_dub_1_da6378478d.jpg","https://www.treeoftheyear.org/previous-years/2018/Gilwellsky-dub",12955,"votes",5,"photos/2018_the_gilwell_oak_Gilwellsky-dub.jpg",51.65031666666667,0.001063888888888889
2018,"Apple tree from Bošáca",NA,"Apple tree (Malus domestica, Borkh.)","120 years years","Bošáca, region Nové Mesto nad Váhom, Slovakia","N 48°52'7.7'', E 17°50'4.8''","12249 votes","6th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Jablon_z_Bosaci_1_2fa72732ef.jpg","https://www.treeoftheyear.org/previous-years/2018/Jablon-z-Bosaci",12249,"votes",6,"photos/2018_apple_tree_from_bo_ca_Jablon-z-Bosaci.jpg",48.868805555555554,17.834666666666667
2018,"The massive plane tree - the symbol of Trsteno",NA,"Oriental plane tree (Platanus orientalis L.)","over500 years","City of Dubrovnik, Dubrovnik-Neretva County, Republic of Croatia","N 42°42'50.6'', E 17°58'43.78''","11821 votes","7th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Mohutny_platan_symbol_Trstena_1_b9763414f6.jpg","https://www.treeoftheyear.org/previous-years/2018/Mohutny-platan-symbol-Trstena",11821,"votes",7,"photos/2018_the_massive_plane_tree_the_symbol_of_trsteno_Mohutny-platan-symbol-Trstena.jpg",42.71405555555556,17.978827777777777
2018,"Sequoias from Yuchbunar",NA,"Sequoia gigantea","130 years years","Village of Bogoslov, Yuchbunar site, region of Kyustendil, Bulgaria","N 42°15'5.69'', E 22°39'49.7''","11625 votes","8th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Sekvojovce_z_Juchbunaru_1_95a44235cf.jpg","https://www.treeoftheyear.org/previous-years/2018/Sekvojovce-z-Juchbunaru",11625,"votes",8,"photos/2018_sequoias_from_yuchbunar_Sekvojovce-z-Juchbunaru.jpg",42.251580555555556,22.663805555555555
2018,"Walnut Tree in Kvasice",NA,"Black walnut (Juglans nigra)","230 years years","Kvasice, Zlín Region, Czech Republic","N 49°14'41.67'', E 17°28'19.48''","11022 votes","9th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Kvasicky_oresak_1_b1e34e0f39.jpg","https://www.treeoftheyear.org/previous-years/2018/Kvasicky-oresak",11022,"votes",9,"photos/2018_walnut_tree_in_kvasice_Kvasicky-oresak.jpg",49.244908333333335,17.472077777777777
2018,"Witches Spruce",NA,"Norway spruce (Picea abies L.)","170years years","Vilkyškiai forest near to Vilkyškiai town, Pagėgiai municipality, Lithuania","N 55°6'11.1'', E 22°8'48.58''","10967 votes","10th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Carodejnicky_smrk_1_50a3375c06.jpg","https://www.treeoftheyear.org/previous-years/2018/Carodejnicky-smrk",10967,"votes",10,"photos/2018_witches_spruce_Carodejnicky-smrk.jpg",55.10308333333334,22.146827777777776
2018,"Poplar Helena",NA,"Black poplar (populus nigra)","220 years years","Hel, Pomorskie province, Poland","N 54°36'14.04'', E 18°48'11.16''","10889 votes","11th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Topol_Helena_1_672543ddff.jpg","https://www.treeoftheyear.org/previous-years/2018/Topol-Helena",10889,"votes",11,"photos/2018_poplar_helena_Topol-Helena.jpg",54.6039,18.8031
2018,"The Lime of the Old Country",NA,"Small-leaved Lime (Tilia cordata)","400 years years","Bioul, Wallonia, Belgium","N 50°20'2.64'', E 4°47'5.46''","10381 votes","12th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Lipa_ze_Stare_zeme_1_66a26f4ed5.jpg","https://www.treeoftheyear.org/previous-years/2018/Lipa-ze-Stare-zeme",10381,"votes",12,"photos/2018_the_lime_of_the_old_country_Lipa-ze-Stare-zeme.jpg",50.33406666666667,4.78485
2018,"Oak from Cajvana",NA,"Common oak ( Quercus robur L.)","about750 years","Cajvana Town, Suceava County, Romania","N 47°42'16.99'', E 25°59'12''","9752 votes","13th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_z_Cajvany_1_d5c977dde2.jpg","https://www.treeoftheyear.org/previous-years/2018/Dub-z-Cajvany",9752,"votes",13,"photos/2018_oak_from_cajvana_Dub-z-Cajvany.jpg",47.70471944444445,25.986666666666668
2019,"The Almond Tree of the Snowy Hill in Pécs",NA,"Almond tree (Prunus dulcis)","135 years years","Pécs city, Baranya region, Hungary","N 46°5'0.47'', E 18°14'17.43''","45132 votes","1st place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Mandlon_na_Sneznem_vrchu_v_Pesti_1_a19daaa071.jpg","https://www.treeoftheyear.org/previous-years/2019/Mandlon-na-Sneznem-vrchu-v-Pesti",45132,"votes",1,"photos/2019_the_almond_tree_of_the_snowy_hill_in_p_cs_Mandlon-na-Sneznem-vrchu-v-Pesti.jpg",46.08346388888889,18.238175000000002
2019,"The Abramtsevo Oak",NA,"English oak (Quercus robur L.)","248 years years","Abramtsevo selo, Sergeev-Posadskii District, Moscow Region, Russian Federation.","N 56°14'0.05'', E 37°58'0.07''","39538 votes","2nd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_z_vesnice_Abramtsevo_1_c565a4f7f5.jpg","https://www.treeoftheyear.org/previous-years/2019/Dub-z-vesnice-Abramtsevo",39538,"votes",2,"photos/2019_the_abramtsevo_oak_Dub-z-vesnice-Abramtsevo.jpg",56.23334722222222,37.966686111111116
2019,"Secular Holm Oak from Monte Barbeiro",NA,"Holm Oak (Quercus rotundifolia Lam)","150 years years","Mértola Town, Region of Alentejo, Portugal","N 37°44'12.18'', W 7°49'17.15''","32630 votes","3rd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Svetly_dub_cesminovity_z_Monte_do_Barbeiro_1_4d8b6871d7.jpg","https://www.treeoftheyear.org/previous-years/2019/Svetly-dub-cesminovity-z-Monte-do-Barbeiro",32630,"votes",3,"photos/2019_secular_holm_oak_from_monte_barbeiro_Svetly-dub-cesminovity-z-Monte-do-Barbeiro.jpg",37.736716666666666,-7.821430555555556
2019,"The bird-tree",NA,"Cork Oak (Quercus suber)","200-230years years","Ghisonaccia, Haute-Corse, France","N 42°2'10.68'', E 9°22'7.86''","29140 votes","4th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Korkovy_dub_z_Ghisonaccie_na_Korsice_1_a4a0955a8c.jpg","https://www.treeoftheyear.org/previous-years/2019/Korkovy-dub-z-Ghisonaccie-na-Korsice",29140,"votes",4,"photos/2019_the_bird_tree_Korkovy-dub-z-Ghisonaccie-na-Korsice.jpg",42.0363,9.36885
2019,"Kneeling tree",NA,"Ash-leaved maple (Acer negundo L.)","65 years years","Krasnystaw, Lubelskie province, Poland","N 50°59'1.79'', E 23°10'24.2''","16856 votes","5th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Klecici_strom_1_ff21179871.jpg","https://www.treeoftheyear.org/previous-years/2019/Klecici-strom",16856,"votes",5,"photos/2019_kneeling_tree_Klecici-strom.jpg",50.983830555555556,23.17338888888889
2019,"The Guardian of Great Moravia's secrets","On the edge of the village of Kopčany, in a quiet meadow, there is an old lime and an old church. They protect each other and have resisted the weather for more than two hundred years. The church is from the 9th - 10th century, and is one of the oldest buildings of the Great Moravian period of Slovakia. They create a typical sacred couple for our country - the lime with its roots protects the forgotten stories of the ancestors from the Great Moravian Empire and completes the unspoken atmosphere of this archaeologically and culturally significant place.","Large-leaved lime (Tilia platophyllos)","235years years","Kopčany, Skalica district, Slovak republic","N 48°47'46.34'', E 17°6'31.36''","15412 votes","6th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Strazkyne_velkomoravskych_tajemstvi_1_6ead9bc26c.jpg","https://www.treeoftheyear.org/previous-years/2019/Strazkyne-velkomoravskych-tajemstvi",15412,"votes",6,"photos/2019_the_guardian_of_great_moravia_s_secrets_Strazkyne-velkomoravskych-tajemstvi.jpg",48.79620555555555,17.108711111111113
2019,"Nellie's Tree","Nearly 100 years ago, Vic Stead would walk to the nearby village to visit Nellie, the young lady he was courting. One day, he came across three beech saplings on his route, and grafted one sapling between the other two to form the letter N, in an attempt to woo his sweetheart. Vic and Nellie would go on to marry and have a family, and although they are both gone now, Nellie’s tree, also known as the Love Tree, still remains. It is still popular with lovers today and is the site of proposals.","Beech (fagus sylvatica)","100 years years","Leeds, Yorkshire, England, UK","N 53°48'35.78'', W 1°22'14.6''","14408 votes","7th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Nelliin_strom_1_d586a7bcf6.jpg","https://www.treeoftheyear.org/previous-years/2019/Nelliin-strom",14408,"votes",7,"photos/2019_nellie_s_tree_Nelliin-strom.jpg",53.80993888888889,-1.3707222222222222
2019,"The Our Lady Tree of Lummen",NA,"European Beech (Fagus sylvatica)","Unknown years","Lummen, Province of Limburg, Belgium","N 50°59'13.73'', E 5°10'36.26''","14295 votes","8th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Buk_Panny_Marie_v_Lummen_1_8d07e20087.jpg","https://www.treeoftheyear.org/previous-years/2019/Buk-Panny-Marie-v-Lummen",14295,"votes",8,"photos/2019_the_our_lady_tree_of_lummen_Buk-Panny-Marie-v-Lummen.jpg",50.98714722222223,5.176738888888889
2019,"Gubec linden",NA,"Large-leaved linden (Tilia platyphyllos)","around500 years","Gornja Stubica, Krapina-Zagorje County, Croatia","N 45°58'24.14'', E 16°0'48.5''","14217 votes","9th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Gubcova_lipa_1_94514385bd.jpg","https://www.treeoftheyear.org/previous-years/2019/Gubcova-lipa",14217,"votes",9,"photos/2019_gubec_linden_Gubcova-lipa.jpg",45.973372222222224,16.013472222222223
2019,"Elm of Navajas",NA,"Elm (Ulmus minor)","382 years years","Navajas,Castellón, Spain","N 39°52'40.17'', W 0°30'25.68''","13622 votes","10th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Jilm_z_Navajas_1_d956244e22.jpg","https://www.treeoftheyear.org/previous-years/2019/Jilm-z-Navajas",13622,"votes",10,"photos/2019_elm_of_navajas_Jilm-z-Navajas.jpg",39.877825,-0.5071333333333333
2019,"The towering plane from Câmpeni",NA,"Plane tree (Platanus hibrida)","200 years years","Câmpeni City, Alba County, Romania","N 46°21'46.08'', E 23°2'45.6''","13040 votes","11th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Obri_platan_z_Campeni_1_35a41db590.jpg","https://www.treeoftheyear.org/previous-years/2019/Obri-platan-z-Campeni",13040,"votes",11,"photos/2019_the_towering_plane_from_c_mpeni_Obri-platan-z-Campeni.jpg",46.3628,23.046000000000003
2019,"The venerable Turkey oak near Rani lug village",NA,"Turkey oak (Quercus cerris)","Morethan300 years","Village of Rani lug, Tran Municipality, Bulgaria","N 42°49'4'', E 22°29'20''","12846 votes","12th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Prastary_dub_z_osady_Rani_lug_1_349b721cbe.jpg","https://www.treeoftheyear.org/previous-years/2019/Prastary-dub-z-osady-Rani-lug",12846,"votes",12,"photos/2019_the_venerable_turkey_oak_near_rani_lug_village_Prastary-dub-z-osady-Rani-lug.jpg",42.81777777777778,22.48888888888889
2019,"Raudonė Castle Lime",NA,"Small-leaved Lime (Tilia cordata Mill.)","Unknown years","Raudonė Town, Jurbarkas District Municipality, Lithuania","N 55°5'48.21'', E 23°7'52.06''","12148 votes","13th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Lipa_na_zamku_v_Raudone_1_6bf200bbd2.jpg","https://www.treeoftheyear.org/previous-years/2019/Lipa-na-zamku-v-Raudone",12148,"votes",13,"photos/2019_raudon_castle_lime_Lipa-na-zamku-v-Raudone.jpg",55.096725,23.131127777777778
2020,"Guardian of the Flooded Village","This pine from Chudobín grows on the rocky headland of the dam called Vír. The name of the pine is in connection with the flooded village of Chudobín, which ceased to exist due to the construction of a dam. According to a legend narrated by locals, a devil sat under the pine in the night and played the violin. However it is much more likely that they were hearing the strong winds blowing over the valley. This pine tree is not only an important landmark but also an impressive testimony to its high resistance to climate change and human impact. Please do not approach the Chudobin pine tree and do not enter the protection zone of the Vír water reservoir. Illegal visits to a tree threaten the tree. If you want to keep it for future generations, stay away from it.","Scots pine (Pinus sylvestris)","350 years years","Chudobín, Vysočina region, Czech republic","N 49°34'19.53'', E 16°16'36.47''","47226 votes","1st place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Chudobinska_borovice_1_770d741bc9.jpg","https://www.treeoftheyear.org/previous-years/2020/Chudobinska-borovice",47226,"votes",1,"photos/2020_guardian_of_the_flooded_village_Chudobinska-borovice.jpg",49.57209166666667,16.27679722222222
2020,"Ginkgo from Daruvar",NA,"Ginkgo (Ginkgo biloba)","242 years years","Daruvar, County of Bjelovar-Bilogora, Republic of Croatia","N 45°35'43.51'', E 17°13'11.17''","28060 votes","2nd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Jinan_z_Daruvaru_1_46ed423ab8.jpg","https://www.treeoftheyear.org/previous-years/2020/Jinan-z-Daruvaru",28060,"votes",2,"photos/2020_ginkgo_from_daruvar_Jinan-z-Daruvaru.jpg",45.595419444444445,17.21976944444444
2020,"Lonely Poplar",NA,"Laurel-Leafed Poplar (Populus laurifolia)","103 years years","village Har-Buluk,Tselinny district, Kalmykia, Russia","N 46°16'49.8'', E 44°0'40.19''","27411 votes","3rd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Osamely_topol_1_83299a423b.jpg","https://www.treeoftheyear.org/previous-years/2020/Osamely-topol",27411,"votes",3,"photos/2020_lonely_poplar_Osamely-topol.jpg",46.280499999999996,44.01116388888889
2020,"The Witch Tree",NA,"Beech (Fagus Sylvatica)","130years years","Bladel, North Brabant, The Netherlands","N 51°20'47'', E 5°12'7.42''","18452 votes","4th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Carodejny_strom_1_daa9b49ffa.jpg","https://www.treeoftheyear.org/previous-years/2020/Carodejny-strom",18452,"votes",4,"photos/2020_the_witch_tree_Carodejny-strom.jpg",51.34638888888889,5.202061111111111
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"The Allerton Oak",NA,"Sessile oak (Quercus petraea)","500+ years years","Liverpool, England, United Kingdom","N 53°22'57.29'', W 2°53'34.19''","16449 votes","7th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Allertonsky_dub_1_2803c34a8f.jpg","https://www.treeoftheyear.org/previous-years/2020/Allertonsky-dub",16449,"votes",7,"photos/2020_the_allerton_oak_Allertonsky-dub.jpg",53.382580555555556,-2.8928305555555553
2020,"The Freedom Tree in Kaposvár",NA,"Common oak (Quercus robur)","93 years years","Kaposvár, Somogy county, Hungary","N 46°21'42.59'', E 17°47'37.43''","16093 votes","8th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Strom_svobody_v_Kaposvaru_1_cb5e394083.jpg","https://www.treeoftheyear.org/previous-years/2020/Strom-svobody-v-Kaposvaru",16093,"votes",8,"photos/2020_the_freedom_tree_in_kaposv_r_Strom-svobody-v-Kaposvaru.jpg",46.36183055555556,17.79373055555556
